Alien 	7127.7  HardExplorationDenseReward
Amidar 	1719.5  HardExplorationDenseReward
Assault 	742.0  EasyExploration
Asterix 	8503.3  EasyExploration
Asteroids 	47388.7  EasyExploration
Atlantis 	29028.1  EasyExploration
BankHeist 	753.1  HardExplorationDenseReward
BattleZone 	37187.5  EasyExploration
BeamRider 	16926.5  EasyExploration
Berzerk 	2630.4  EasyExploration
Bowling 	160.7  EasyExploration
Boxing 	12.1  EasyExploration
Breakout 	30.5  EasyExploration
Centipede 	12017.0  EasyExploration
ChopperCommand 	7387.8  EasyExploration
CrazyClimber 	35829.4  EasyExploration
Defender 	18688.9  EasyExploration
DemonAttack 	1971.0  EasyExploration
DoubleDunk 	-16.4  EasyExploration
Enduro 	860.5  EasyExploration
FishingDerby 	-38.7  EasyExploration
Freeway 	29.6  HardExplorationSparseReward
Frostbite 	4334.7  HardExplorationDenseReward
Gopher 	2412.5  EasyExploration
Gravitar 	3351.4  HardExplorationSparseReward
Hero 	30826.4  HardExplorationDenseReward
IceHockey 	0.9  EasyExploration
Jamesbond 	302.8  EasyExploration
Kangaroo 	3035.0  EasyExploration
Krull 	2665.5  EasyExploration
KungFuMaster 	22736.3  EasyExploration
MontezumaRevenge 	4753.3  HardExplorationSparseReward
MsPacman 	6951.6  HardExplorationDenseReward
NameThisGame 	8049.0  EasyExploration
Phoenix 	7242.6  EasyExploration
Pitfall 	6463.7  EasyExploration
Pong 	14.6  EasyExploration
PrivateEye 	69571.3  EasyExploration
Qbert 	13455.0  HardExplorationDenseReward
Riverraid 	17118.0  EasyExploration
RoadRunner 	7845.0  EasyExploration
Robotank 	11.9  EasyExploration
Seaquest 	42054.7  EasyExploration
Skiing 	-4336.9  EasyExploration
Solaris 	12326.7  EasyExploration
SpaceInvaders 	1668.7  EasyExploration
StarGunner 	10250.0  EasyExploration
Surround 	6.5  EasyExploration
Tennis 	-8.3  EasyExploration
TimePilot 	5229.2  EasyExploration
Tutankham 	167.6  EasyExploration
UpandDown 	11693.2  EasyExploration
Venture 	1187.5  EasyExploration
VideoPinball 	17667.9  EasyExploration
WizardOfWor 	4756.5  HardExplorationDenseReward
YarsRevenge 	54576.9  EasyExploration
Zaxxon 	9173.3  HardExplorationDenseReward
